name,indent_err,comment_curlybracket_err,comment_linebreaker_err,comment_magicnumber_err,comment_head_err,comment_macro_err,comment_func_err,comment_tag_param_err,comment_tag_return_err
jkott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spandey3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
appate24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bjpatel2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jnpatel,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
kvpatel2,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tpatel7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
adpatil,0.0,,0.0,0.0,0.0,0.0,,,
kpatnal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
spaudel4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gtpeters,,,,,,,,,
bjpittm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
spotu,,,,,,,,,
mpruchn,0.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
dcquigle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hmrollin,,,,,,,,,
ajsaddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
ssamal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
asanty,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
asawhne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lhschwar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acsenn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
ashah28,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
kpsherk,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mssodhi,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
jnsproul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
lgstewar,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rssuh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jrsykes2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actasiss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kdtate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wgthoma3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fttolliv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tatran5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deturner,0.0,,0.0,0.0,0.0,0.0,,,
jdusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skverma,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
awaleed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mcwise3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zhyakout,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
yzhou39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
njziglar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lhbarber,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jbayne,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeboucha,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
lbuttit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kscho2,,,,,,,,,
jdonnel2,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jmduffy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wgreene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dhecht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dho2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
slundy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
pcpurdue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
vrajago2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
dsramasw,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jvrichar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
nksanfor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
